G1 depth=3 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.36s | NRMSE=1.479
G1 depth=3 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.26s | NRMSE=5.911
G1 depth=3 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.26s | NRMSE=1.189
G1 depth=3 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.25s | NRMSE=1.072
G1 depth=5 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.29s | NRMSE=1.189
G1 depth=5 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.29s | NRMSE=1.072
G1 depth=5 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.29s | NRMSE=1.431
G1 depth=5 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.29s | NRMSE=1.072
G1 depth=10 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.36s | NRMSE=1.189
G1 depth=10 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.36s | NRMSE=1.072
G1 depth=10 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.36s | NRMSE=3.346
G1 depth=10 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.38s | NRMSE=1.072
G2 depth=3 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.26s | NRMSE=1.376
G2 depth=3 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.26s | NRMSE=5.911
G2 depth=3 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.26s | NRMSE=3.346
G2 depth=3 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.26s | NRMSE=1.072
G2 depth=5 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.30s | NRMSE=1.189
G2 depth=5 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.43s | NRMSE=1.072
G2 depth=5 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.31s | NRMSE=1.313
G2 depth=5 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.30s | NRMSE=1.072
G2 depth=10 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.38s | NRMSE=1.189
G2 depth=10 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.36s | NRMSE=1.072
G2 depth=10 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.36s | NRMSE=1.189
G2 depth=10 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.36s | NRMSE=1.072
G3 depth=3 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.26s | NRMSE=0.946
G3 depth=3 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.26s | NRMSE=5.911
G3 depth=3 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.26s | NRMSE=1.405
G3 depth=3 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.26s | NRMSE=1.072
G3 depth=5 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.29s | NRMSE=1.189
G3 depth=5 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.34s | NRMSE=1.072
G3 depth=5 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.29s | NRMSE=0.981
G3 depth=5 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.31s | NRMSE=1.072
G3 depth=10 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.36s | NRMSE=1.189
G3 depth=10 | seed=0 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.36s | NRMSE=1.072
G3 depth=10 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=False | time=0.39s | NRMSE=1.405
G3 depth=10 | seed=1 | n=2 | extra=0 | meas=S:XYZ | Rz=True | time=0.47s | NRMSE=1.072
G1 depth=3 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.28s | NRMSE=1.266
G1 depth=3 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.28s | NRMSE=1.072
G1 depth=3 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.28s | NRMSE=0.964
G1 depth=3 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.28s | NRMSE=1.072
G1 depth=5 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.32s | NRMSE=0.964
G1 depth=5 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.31s | NRMSE=1.072
G1 depth=5 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.33s | NRMSE=1.251
G1 depth=5 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.31s | NRMSE=1.072
G1 depth=10 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.40s | NRMSE=0.964
G1 depth=10 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.39s | NRMSE=1.072
G1 depth=10 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.38s | NRMSE=1.250
G1 depth=10 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.39s | NRMSE=1.072
G2 depth=3 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.29s | NRMSE=1.320
G2 depth=3 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.30s | NRMSE=1.072
G2 depth=3 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.29s | NRMSE=1.005
G2 depth=3 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.28s | NRMSE=1.072
G2 depth=5 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.31s | NRMSE=1.235
G2 depth=5 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.31s | NRMSE=1.072
G2 depth=5 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.38s | NRMSE=1.289
G2 depth=5 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.31s | NRMSE=1.072
G2 depth=10 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.38s | NRMSE=0.964
G2 depth=10 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.38s | NRMSE=1.072
G2 depth=10 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.40s | NRMSE=1.867
G2 depth=10 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.39s | NRMSE=1.072
G3 depth=3 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.28s | NRMSE=0.970
G3 depth=3 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.29s | NRMSE=1.072
G3 depth=3 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.28s | NRMSE=0.970
G3 depth=3 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.29s | NRMSE=1.072
G3 depth=5 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.32s | NRMSE=0.964
G3 depth=5 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.31s | NRMSE=1.072
G3 depth=5 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.32s | NRMSE=0.970
G3 depth=5 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.31s | NRMSE=1.072
G3 depth=10 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.45s | NRMSE=1.235
G3 depth=10 | seed=0 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.39s | NRMSE=1.072
G3 depth=10 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=False | time=0.39s | NRMSE=1.456
G3 depth=10 | seed=1 | n=2 | extra=0 | meas=S+P:XYZ | Rz=True | time=0.38s | NRMSE=1.072
G1 depth=3 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.24s | NRMSE=1.479
G1 depth=3 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.24s | NRMSE=5.911
G1 depth=3 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.24s | NRMSE=1.189
G1 depth=3 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.24s | NRMSE=1.072
G1 depth=5 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.27s | NRMSE=1.189
G1 depth=5 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.27s | NRMSE=1.072
G1 depth=5 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.27s | NRMSE=1.431
G1 depth=5 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.33s | NRMSE=1.072
G1 depth=10 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.34s | NRMSE=1.189
G1 depth=10 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.37s | NRMSE=1.072
G1 depth=10 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.42s | NRMSE=3.346
G1 depth=10 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.35s | NRMSE=1.072
G2 depth=3 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.24s | NRMSE=1.417
G2 depth=3 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.30s | NRMSE=5.911
G2 depth=3 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.25s | NRMSE=2.090
G2 depth=3 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.24s | NRMSE=1.072
G2 depth=5 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.27s | NRMSE=1.218
G2 depth=5 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.29s | NRMSE=1.072
G2 depth=5 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.27s | NRMSE=1.159
G2 depth=5 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.27s | NRMSE=1.072
G2 depth=10 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.34s | NRMSE=1.189
G2 depth=10 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.34s | NRMSE=1.072
G2 depth=10 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.34s | NRMSE=1.189
G2 depth=10 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.34s | NRMSE=1.072
G3 depth=3 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.24s | NRMSE=1.479
G3 depth=3 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.24s | NRMSE=5.911
G3 depth=3 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.24s | NRMSE=1.189
G3 depth=3 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.30s | NRMSE=1.072
G3 depth=5 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.27s | NRMSE=1.189
G3 depth=5 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.27s | NRMSE=1.072
G3 depth=5 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.27s | NRMSE=1.420
G3 depth=5 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.27s | NRMSE=1.072
G3 depth=10 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.34s | NRMSE=1.218
G3 depth=10 | seed=0 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.34s | NRMSE=1.072
G3 depth=10 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=False | time=0.34s | NRMSE=1.452
G3 depth=10 | seed=1 | n=2 | extra=0 | meas=S:XZ | Rz=True | time=0.35s | NRMSE=1.072
G1 depth=3 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.25s | NRMSE=1.251
G1 depth=3 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.25s | NRMSE=1.072
G1 depth=3 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.26s | NRMSE=1.251
G1 depth=3 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.25s | NRMSE=1.072
G1 depth=5 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.29s | NRMSE=1.251
G1 depth=5 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.29s | NRMSE=1.072
G1 depth=5 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.29s | NRMSE=1.251
G1 depth=5 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.28s | NRMSE=1.072
G1 depth=10 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.36s | NRMSE=1.251
G1 depth=10 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.43s | NRMSE=1.072
G1 depth=10 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.36s | NRMSE=1.405
G1 depth=10 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.36s | NRMSE=1.072
G2 depth=3 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.26s | NRMSE=1.221
G2 depth=3 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.26s | NRMSE=1.072
G2 depth=3 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.25s | NRMSE=1.291
G2 depth=3 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.26s | NRMSE=1.072
G2 depth=5 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.29s | NRMSE=1.221
G2 depth=5 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.29s | NRMSE=1.072
G2 depth=5 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.28s | NRMSE=1.150
G2 depth=5 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.28s | NRMSE=1.072
G2 depth=10 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.35s | NRMSE=1.251
G2 depth=10 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.36s | NRMSE=1.072
G2 depth=10 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.36s | NRMSE=1.405
G2 depth=10 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.35s | NRMSE=1.072
G3 depth=3 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.25s | NRMSE=1.251
G3 depth=3 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.26s | NRMSE=1.072
G3 depth=3 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.25s | NRMSE=1.251
G3 depth=3 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.26s | NRMSE=1.072
G3 depth=5 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.49s | NRMSE=1.251
G3 depth=5 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.30s | NRMSE=1.072
G3 depth=5 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.28s | NRMSE=1.263
G3 depth=5 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.28s | NRMSE=1.072
G3 depth=10 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.35s | NRMSE=1.221
G3 depth=10 | seed=0 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.37s | NRMSE=1.072
G3 depth=10 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=False | time=0.40s | NRMSE=1.452
G3 depth=10 | seed=1 | n=2 | extra=0 | meas=S+P:XZ | Rz=True | time=0.41s | NRMSE=1.072
G1 depth=3 | seed=0 | n=2 | extra=0 | meas=S:Y | Rz=False | time=0.25s | NRMSE=5.911
G1 depth=3 | seed=0 | n=2 | extra=0 | meas=S:Y | Rz=True | time=0.23s | NRMSE=5.911
G1 depth=3 | seed=1 | n=2 | extra=0 | meas=S:Y | Rz=False | time=0.23s | NRMSE=5.911
G1 depth=3 | seed=1 | n=2 | extra=0 | meas=S:Y | Rz=True | time=0.23s | NRMSE=5.911
G1 depth=5 | seed=0 | n=2 | extra=0 | meas=S:Y | Rz=False | time=0.26s | NRMSE=5.911
G1 depth=5 | seed=0 | n=2 | extra=0 | meas=S:Y | Rz=True | time=0.26s | NRMSE=5.911
G1 depth=5 | seed=1 | n=2 | extra=0 | meas=S:Y | Rz=False | time=0.40s | NRMSE=5.911
G1 depth=5 | seed=1 | n=2 | extra=0 | meas=S:Y | Rz=True | time=0.29s | NRMSE=5.911
