G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.83s | NRMSE=1.128
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.84s | NRMSE=1.017
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.81s | NRMSE=1.021
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.84s | NRMSE=1.017
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.88s | NRMSE=1.102
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.87s | NRMSE=1.017
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.92s | NRMSE=0.937
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.88s | NRMSE=1.017
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.04s | NRMSE=1.073
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.11s | NRMSE=1.017
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.05s | NRMSE=1.005
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.04s | NRMSE=1.017
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.83s | NRMSE=1.128
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.89s | NRMSE=1.017
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.83s | NRMSE=0.921
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.88s | NRMSE=1.017
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.97s | NRMSE=1.102
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.90s | NRMSE=1.017
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.93s | NRMSE=0.908
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.89s | NRMSE=1.017
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.06s | NRMSE=0.985
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.06s | NRMSE=1.017
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.24s | NRMSE=0.903
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.07s | NRMSE=1.017
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.83s | NRMSE=1.128
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.83s | NRMSE=1.017
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.82s | NRMSE=0.903
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.82s | NRMSE=1.017
G3 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.05s | NRMSE=1.102
G3 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.88s | NRMSE=1.017
G3 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.88s | NRMSE=0.874
G3 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.92s | NRMSE=1.017
G3 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.03s | NRMSE=0.902
G3 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.22s | NRMSE=1.017
G3 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.04s | NRMSE=0.953
G3 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.23s | NRMSE=1.017
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.12s | NRMSE=0.911
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.28s | NRMSE=1.017
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.20s | NRMSE=0.908
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.25s | NRMSE=1.017
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.25s | NRMSE=0.893
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.33s | NRMSE=1.017
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.20s | NRMSE=0.906
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.31s | NRMSE=1.017
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.49s | NRMSE=0.918
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.47s | NRMSE=1.017
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.43s | NRMSE=0.903
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.58s | NRMSE=1.017
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.25s | NRMSE=0.910
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.23s | NRMSE=1.017
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.20s | NRMSE=0.889
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.26s | NRMSE=1.017
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.21s | NRMSE=0.895
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.29s | NRMSE=1.017
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.21s | NRMSE=0.917
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.33s | NRMSE=1.017
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.38s | NRMSE=0.917
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.54s | NRMSE=1.017
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.54s | NRMSE=0.950
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.46s | NRMSE=1.017
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.31s | NRMSE=0.911
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.27s | NRMSE=1.017
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.21s | NRMSE=0.907
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.25s | NRMSE=1.017
G3 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.26s | NRMSE=0.893
G3 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.33s | NRMSE=1.017
G3 depth=5 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.21s | NRMSE=0.909
G3 depth=5 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.32s | NRMSE=1.017
G3 depth=10 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.54s | NRMSE=0.917
G3 depth=10 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.49s | NRMSE=1.017
G3 depth=10 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.37s | NRMSE=0.902
G3 depth=10 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.46s | NRMSE=1.017
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=0.81s | NRMSE=1.128
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=0.75s | NRMSE=1.017
