G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.18s | NRMSE=0.990
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.17s | NRMSE=3.158
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.16s | NRMSE=1.385
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.16s | NRMSE=3.158
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.18s | NRMSE=1.607
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.16s | NRMSE=3.158
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.16s | NRMSE=1.393
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.16s | NRMSE=3.158
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.19s | NRMSE=1.827
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.21s | NRMSE=3.158
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.20s | NRMSE=1.626
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.20s | NRMSE=3.158
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.18s | NRMSE=0.990
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.15s | NRMSE=3.158
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.15s | NRMSE=1.587
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.15s | NRMSE=3.158
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.16s | NRMSE=1.607
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.17s | NRMSE=3.158
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.16s | NRMSE=1.616
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.18s | NRMSE=3.158
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.19s | NRMSE=9.947
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.19s | NRMSE=3.158
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.19s | NRMSE=1.008
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.19s | NRMSE=3.158
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.15s | NRMSE=0.990
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.15s | NRMSE=3.158
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.15s | NRMSE=1.554
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.15s | NRMSE=3.158
G3 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.16s | NRMSE=1.607
G3 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.16s | NRMSE=3.158
G3 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.16s | NRMSE=1.439
G3 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.33s | NRMSE=3.158
