G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.18s | NRMSE=2.905
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.15s | NRMSE=2.513
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.15s | NRMSE=2.534
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.15s | NRMSE=2.513
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.17s | NRMSE=2.197
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.16s | NRMSE=2.513
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.17s | NRMSE=0.810
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.20s | NRMSE=2.513
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.20s | NRMSE=1.285
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.19s | NRMSE=2.513
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.19s | NRMSE=2.469
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.19s | NRMSE=2.513
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.16s | NRMSE=2.905
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.15s | NRMSE=2.513
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.15s | NRMSE=2.689
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.16s | NRMSE=2.513
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.17s | NRMSE=2.197
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.16s | NRMSE=2.513
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.17s | NRMSE=1.755
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.16s | NRMSE=2.513
