G1 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.78s | NRMSE=1.288
G1 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.63s | NRMSE=1.673
G1 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.97s | NRMSE=1.673
G1 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.92s | NRMSE=1.097
G2 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.57s | NRMSE=1.046
G2 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.42s | NRMSE=1.097
G2 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.5s | NRMSE=1.673
G2 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.55s | NRMSE=1.673
G3 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.65s | NRMSE=1.077
G3 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.28s | NRMSE=1.675
G3 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.26s | NRMSE=1.673
G3 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.26s | NRMSE=1.374
MG depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.33s | NRMSE=1.513
MG depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.77s | NRMSE=1.177
MG depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=1s | NRMSE=1.102
MG depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=1.15s | NRMSE=1.002
D k=2 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.99s | NRMSE=1.343
D k=2 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=1.05s | NRMSE=1.322
D k=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.27s | NRMSE=1.132
D k=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.18s | NRMSE=1.132
ISING ising=(10.0, 1, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.27s | NRMSE=1.561
ISING ising=(10.0, 1, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.5s | NRMSE=1.112
ISING ising=(10.0, 2, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=1.02s | NRMSE=1.717
ISING ising=(10.0, 2, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=1.04s | NRMSE=1.234
G1 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.47s | NRMSE=1.481
G1 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.63s | NRMSE=1.646
G1 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.59s | NRMSE=1.646
G1 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.76s | NRMSE=1.446
G2 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.5s | NRMSE=1.053
G2 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.34s | NRMSE=1.147
G2 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.6s | NRMSE=1.646
G2 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.73s | NRMSE=1.646
G3 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.38s | NRMSE=1.119
G3 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.41s | NRMSE=1.647
G3 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.44s | NRMSE=1.605
G3 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.89s | NRMSE=1.341
MG depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.83s | NRMSE=1.461
MG depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.67s | NRMSE=1.181
MG depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.9s | NRMSE=0.822
MG depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.94s | NRMSE=1.106
D k=2 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.73s | NRMSE=2.433
D k=2 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.71s | NRMSE=1.172
D k=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.52s | NRMSE=1.786
D k=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.35s | NRMSE=1.786
ISING ising=(10.0, 1, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.6s | NRMSE=1.581
ISING ising=(10.0, 1, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.28s | NRMSE=1.145
ISING ising=(10.0, 2, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.35s | NRMSE=1.727
ISING ising=(10.0, 2, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.61s | NRMSE=1.185
G1 depth=3 | seed=0 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.58s | NRMSE=1.622
G1 depth=3 | seed=1 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.37s | NRMSE=1.622
G1 depth=10 | seed=0 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.52s | NRMSE=1.622
G1 depth=10 | seed=1 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.45s | NRMSE=1.549
G2 depth=3 | seed=0 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.57s | NRMSE=1.328
G2 depth=3 | seed=1 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.38s | NRMSE=1.190
G2 depth=10 | seed=0 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.46s | NRMSE=1.622
G2 depth=10 | seed=1 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.23s | NRMSE=1.549
G3 depth=3 | seed=0 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.2s | NRMSE=1.407
G3 depth=3 | seed=1 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.25s | NRMSE=1.544
G3 depth=10 | seed=0 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.23s | NRMSE=1.328
G3 depth=10 | seed=1 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.27s | NRMSE=1.429
MG depth=3 | seed=0 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.39s | NRMSE=1.388
MG depth=3 | seed=1 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.35s | NRMSE=1.116
