G1 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.22s | NRMSE=1.675
G1 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.23s | NRMSE=3.601
G1 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.26s | NRMSE=3.601
G1 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.28s | NRMSE=2.876
G2 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.22s | NRMSE=1.625
G2 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.24s | NRMSE=2.876
G2 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.33s | NRMSE=3.601
G2 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.39s | NRMSE=3.601
G3 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.31s | NRMSE=1.628
G3 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.27s | NRMSE=2.958
G3 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.36s | NRMSE=3.601
G3 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.22s | NRMSE=3.557
MG depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.28s | NRMSE=3.630
MG depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.21s | NRMSE=3.413
MG depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.3s | NRMSE=1.246
MG depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.27s | NRMSE=1.694
D k=2 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.52s | NRMSE=1.201
D k=2 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.67s | NRMSE=1.226
D k=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.27s | NRMSE=3.599
D k=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.17s | NRMSE=3.599
ISING ising=(10.0, 1, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.23s | NRMSE=1.195
ISING ising=(10.0, 1, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.34s | NRMSE=3.601
ISING ising=(10.0, 2, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.28s | NRMSE=1.812
ISING ising=(10.0, 2, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.39s | NRMSE=3.661
G1 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.16s | NRMSE=1.678
G1 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.17s | NRMSE=3.634
G1 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.35s | NRMSE=3.634
G1 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.23s | NRMSE=3.019
G2 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.18s | NRMSE=1.636
G2 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.17s | NRMSE=2.914
G2 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.4s | NRMSE=3.634
G2 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.28s | NRMSE=3.634
G3 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.14s | NRMSE=1.654
G3 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.15s | NRMSE=3.112
G3 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.22s | NRMSE=3.600
G3 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.44s | NRMSE=3.547
MG depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.21s | NRMSE=3.555
MG depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.29s | NRMSE=3.469
MG depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.28s | NRMSE=1.688
MG depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.44s | NRMSE=1.712
D k=2 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.79s | NRMSE=1.164
D k=2 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.69s | NRMSE=1.669
D k=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.37s | NRMSE=3.678
D k=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.2s | NRMSE=3.678
ISING ising=(10.0, 1, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.57s | NRMSE=1.404
ISING ising=(10.0, 1, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.52s | NRMSE=1.748
ISING ising=(10.0, 2, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.33s | NRMSE=1.742
