G1 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.16s | NRMSE=1.036
G1 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.15s | NRMSE=2.951
G1 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.2s | NRMSE=2.951
G1 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.19s | NRMSE=2.279
G2 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.15s | NRMSE=1.059
G2 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.15s | NRMSE=2.279
G2 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.2s | NRMSE=2.951
G2 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.21s | NRMSE=2.951
G3 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.15s | NRMSE=1.051
G3 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.15s | NRMSE=2.383
G3 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.2s | NRMSE=2.951
G3 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.2s | NRMSE=2.513
MG depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.16s | NRMSE=2.895
MG depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.17s | NRMSE=2.744
MG depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.24s | NRMSE=1.075
MG depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.24s | NRMSE=1.166
D k=2 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.48s | NRMSE=1.545
D k=2 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.39s | NRMSE=1.387
D k=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.19s | NRMSE=2.995
D k=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.16s | NRMSE=2.995
ISING ising=(10.0, 1, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.23s | NRMSE=1.374
ISING ising=(10.0, 1, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.24s | NRMSE=2.968
ISING ising=(10.0, 2, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.4s | NRMSE=1.006
ISING ising=(10.0, 2, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.26s | NRMSE=2.886
G1 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.14s | NRMSE=1.051
G1 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.15s | NRMSE=2.953
G1 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.2s | NRMSE=2.953
G1 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.19s | NRMSE=2.262
G2 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.14s | NRMSE=1.055
G2 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.14s | NRMSE=2.268
G2 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.23s | NRMSE=2.953
G2 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.2s | NRMSE=2.953
G3 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.22s | NRMSE=1.054
G3 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.14s | NRMSE=2.197
G3 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.22s | NRMSE=2.970
G3 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.2s | NRMSE=2.427
MG depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.16s | NRMSE=2.925
MG depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.21s | NRMSE=2.625
MG depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.33s | NRMSE=1.025
MG depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.29s | NRMSE=1.155
D k=2 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.44s | NRMSE=1.211
D k=2 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.38s | NRMSE=1.161
D k=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.16s | NRMSE=3.012
D k=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.15s | NRMSE=3.012
ISING ising=(10.0, 1, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.24s | NRMSE=1.305
ISING ising=(10.0, 1, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.21s | NRMSE=1.434
ISING ising=(10.0, 2, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.26s | NRMSE=1.135
ISING ising=(10.0, 2, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.25s | NRMSE=1.408
G1 depth=3 | seed=0 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.15s | NRMSE=2.980
G1 depth=3 | seed=1 | n=1 | extra=0 | meas=S+P:XZ | Rz=False | time=0.23s | NRMSE=2.980
