G1 depth=3 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.11s | NRMSE=10.147
G1 depth=3 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.08s | NRMSE=2.462
G1 depth=5 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.08s | NRMSE=2.462
G1 depth=5 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.09s | NRMSE=2.462
G1 depth=10 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.10s | NRMSE=2.462
G1 depth=10 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.10s | NRMSE=1.587
G2 depth=3 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.08s | NRMSE=10.147
G2 depth=3 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.08s | NRMSE=1.587
G2 depth=5 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.08s | NRMSE=2.462
G2 depth=5 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.09s | NRMSE=1.587
G2 depth=10 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.11s | NRMSE=2.462
G2 depth=10 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.11s | NRMSE=2.462
G3 depth=3 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.08s | NRMSE=10.147
G3 depth=3 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.08s | NRMSE=2.462
G3 depth=5 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.09s | NRMSE=2.462
G3 depth=5 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.09s | NRMSE=2.462
G3 depth=10 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.10s | NRMSE=2.462
G3 depth=10 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.11s | NRMSE=2.462
G1 depth=3 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.09s | NRMSE=1.915
G1 depth=3 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.09s | NRMSE=2.462
G1 depth=5 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.10s | NRMSE=2.462
G1 depth=5 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.09s | NRMSE=2.462
