G1 depth=3 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.19s | NRMSE=11.551
G1 depth=3 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.15s | NRMSE=1.940
G1 depth=5 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.18s | NRMSE=1.940
G1 depth=5 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.17s | NRMSE=1.940
G1 depth=10 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.39s | NRMSE=1.940
G1 depth=10 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.22s | NRMSE=2.156
G2 depth=3 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.17s | NRMSE=11.551
G2 depth=3 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.19s | NRMSE=2.156
G2 depth=5 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.17s | NRMSE=1.940
G2 depth=5 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.17s | NRMSE=2.156
G2 depth=10 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.21s | NRMSE=1.940
G2 depth=10 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.22s | NRMSE=1.940
G3 depth=3 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.16s | NRMSE=11.551
G3 depth=3 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.16s | NRMSE=1.940
G3 depth=5 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.17s | NRMSE=1.940
G3 depth=5 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.17s | NRMSE=1.940
G3 depth=10 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.21s | NRMSE=1.940
G3 depth=10 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.21s | NRMSE=1.940
G1 depth=3 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.18s | NRMSE=2.081
G1 depth=3 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.43s | NRMSE=1.940
G1 depth=5 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.19s | NRMSE=1.940
G1 depth=5 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.18s | NRMSE=1.940
G1 depth=10 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.22s | NRMSE=1.940
G1 depth=10 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.22s | NRMSE=2.081
G2 depth=3 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.17s | NRMSE=2.081
G2 depth=3 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.17s | NRMSE=2.142
G2 depth=5 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.18s | NRMSE=1.940
G2 depth=5 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.28s | NRMSE=1.236
G2 depth=10 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.22s | NRMSE=1.940
G2 depth=10 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.23s | NRMSE=1.940
G3 depth=3 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.17s | NRMSE=2.081
G3 depth=3 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.17s | NRMSE=1.940
G3 depth=5 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.18s | NRMSE=1.940
G3 depth=5 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.18s | NRMSE=1.940
G3 depth=10 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.22s | NRMSE=1.940
G3 depth=10 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.23s | NRMSE=1.940
G1 depth=3 | seed=0 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.21s | NRMSE=11.551
G1 depth=3 | seed=1 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.16s | NRMSE=2.081
G1 depth=5 | seed=0 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.16s | NRMSE=2.081
G1 depth=5 | seed=1 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.16s | NRMSE=2.081
G1 depth=10 | seed=0 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.20s | NRMSE=2.081
G1 depth=10 | seed=1 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.20s | NRMSE=2.156
G2 depth=3 | seed=0 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.15s | NRMSE=11.551
G2 depth=3 | seed=1 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.15s | NRMSE=2.156
G2 depth=5 | seed=0 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.20s | NRMSE=2.081
G2 depth=5 | seed=1 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.16s | NRMSE=2.156
G2 depth=10 | seed=0 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.20s | NRMSE=2.081
G2 depth=10 | seed=1 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.23s | NRMSE=2.081
G3 depth=3 | seed=0 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.15s | NRMSE=11.551
G3 depth=3 | seed=1 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.14s | NRMSE=2.081
G3 depth=5 | seed=0 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.16s | NRMSE=2.081
