G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.44s | NRMSE=2.119
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.41s | NRMSE=1.485
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.42s | NRMSE=1.991
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.41s | NRMSE=1.485
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.43s | NRMSE=2.075
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.46s | NRMSE=1.485
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.42s | NRMSE=1.755
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.49s | NRMSE=1.485
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.51s | NRMSE=1.785
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.53s | NRMSE=1.485
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.51s | NRMSE=2.031
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.50s | NRMSE=1.485
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.39s | NRMSE=2.119
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.40s | NRMSE=1.485
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.40s | NRMSE=1.701
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.42s | NRMSE=1.485
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.42s | NRMSE=2.075
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.43s | NRMSE=1.485
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.43s | NRMSE=1.406
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.43s | NRMSE=1.485
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.50s | NRMSE=1.425
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.50s | NRMSE=1.485
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.50s | NRMSE=1.624
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.50s | NRMSE=1.485
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.40s | NRMSE=2.119
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.39s | NRMSE=1.485
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.39s | NRMSE=1.688
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=0.39s | NRMSE=1.485
G3 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=0.43s | NRMSE=2.075
