G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.13s | NRMSE=1.800
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.11s | NRMSE=1.123
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.18s | NRMSE=1.392
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.11s | NRMSE=1.123
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.19s | NRMSE=1.338
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.26s | NRMSE=1.123
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.24s | NRMSE=1.670
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.21s | NRMSE=1.123
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.44s | NRMSE=1.886
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.44s | NRMSE=1.123
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.82s | NRMSE=1.169
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.41s | NRMSE=1.123
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.07s | NRMSE=1.800
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.10s | NRMSE=1.123
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.15s | NRMSE=1.564
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.14s | NRMSE=1.123
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.42s | NRMSE=1.338
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.22s | NRMSE=1.123
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.15s | NRMSE=1.291
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.18s | NRMSE=1.123
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.48s | NRMSE=5.024
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.41s | NRMSE=1.123
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.34s | NRMSE=1.399
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.40s | NRMSE=1.123
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.26s | NRMSE=1.800
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.15s | NRMSE=1.123
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.18s | NRMSE=1.441
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.06s | NRMSE=1.123
G3 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.25s | NRMSE=1.338
G3 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.14s | NRMSE=1.123
G3 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.21s | NRMSE=1.467
G3 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.16s | NRMSE=1.123
G3 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.44s | NRMSE=2.205
G3 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.42s | NRMSE=1.123
G3 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=False | time=1.37s | NRMSE=1.125
G3 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XYZ | Rz=True | time=1.42s | NRMSE=1.123
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.51s | NRMSE=1.265
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.59s | NRMSE=1.123
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.53s | NRMSE=1.243
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.57s | NRMSE=1.123
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.71s | NRMSE=1.212
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.66s | NRMSE=1.123
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.72s | NRMSE=1.414
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.63s | NRMSE=1.123
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.77s | NRMSE=1.282
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.89s | NRMSE=1.123
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.90s | NRMSE=1.305
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.91s | NRMSE=1.123
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.52s | NRMSE=1.243
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.71s | NRMSE=1.123
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.72s | NRMSE=1.068
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.52s | NRMSE=1.123
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.57s | NRMSE=1.241
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.69s | NRMSE=1.123
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.58s | NRMSE=1.178
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.69s | NRMSE=1.123
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=2.15s | NRMSE=1.242
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=2.00s | NRMSE=1.123
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.84s | NRMSE=1.222
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.98s | NRMSE=1.123
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.67s | NRMSE=1.265
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.60s | NRMSE=1.123
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.69s | NRMSE=1.250
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.57s | NRMSE=1.123
G3 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.75s | NRMSE=1.212
G3 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.81s | NRMSE=1.123
G3 depth=5 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.68s | NRMSE=1.342
G3 depth=5 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.64s | NRMSE=1.123
G3 depth=10 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.87s | NRMSE=1.293
G3 depth=10 | seed=0 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.88s | NRMSE=1.123
G3 depth=10 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=False | time=1.92s | NRMSE=1.350
G3 depth=10 | seed=1 | n=4 | extra=0 | meas=S+P:XYZ | Rz=True | time=1.98s | NRMSE=1.123
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=1.08s | NRMSE=1.800
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=1.16s | NRMSE=1.123
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=0.99s | NRMSE=1.392
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=0.98s | NRMSE=1.123
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=1.06s | NRMSE=1.338
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=1.07s | NRMSE=1.123
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=1.15s | NRMSE=1.670
G1 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=1.15s | NRMSE=1.123
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=1.32s | NRMSE=1.886
G1 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=1.31s | NRMSE=1.123
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=1.35s | NRMSE=1.169
G1 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=1.32s | NRMSE=1.123
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=0.99s | NRMSE=1.789
G2 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=0.98s | NRMSE=1.123
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=0.99s | NRMSE=1.543
G2 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=0.99s | NRMSE=1.123
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=1.09s | NRMSE=1.351
G2 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=1.09s | NRMSE=1.123
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=1.22s | NRMSE=1.469
G2 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=1.07s | NRMSE=1.123
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=1.35s | NRMSE=2.212
G2 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=1.32s | NRMSE=1.123
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=1.32s | NRMSE=1.448
G2 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=1.36s | NRMSE=1.123
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=0.99s | NRMSE=1.800
G3 depth=3 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=0.99s | NRMSE=1.123
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=0.99s | NRMSE=1.392
G3 depth=3 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=0.98s | NRMSE=1.123
G3 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=1.07s | NRMSE=1.338
G3 depth=5 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=1.16s | NRMSE=1.123
G3 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=1.07s | NRMSE=1.670
G3 depth=5 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=1.13s | NRMSE=1.123
G3 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=1.45s | NRMSE=2.100
G3 depth=10 | seed=0 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=1.46s | NRMSE=1.123
G3 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=False | time=1.43s | NRMSE=1.169
G3 depth=10 | seed=1 | n=4 | extra=0 | meas=S:XZ | Rz=True | time=1.41s | NRMSE=1.123
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XZ | Rz=False | time=1.33s | NRMSE=1.189
G1 depth=3 | seed=0 | n=4 | extra=0 | meas=S+P:XZ | Rz=True | time=1.26s | NRMSE=1.123
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XZ | Rz=False | time=1.34s | NRMSE=1.239
G1 depth=3 | seed=1 | n=4 | extra=0 | meas=S+P:XZ | Rz=True | time=1.27s | NRMSE=1.123
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XZ | Rz=False | time=1.42s | NRMSE=1.246
G1 depth=5 | seed=0 | n=4 | extra=0 | meas=S+P:XZ | Rz=True | time=1.43s | NRMSE=1.123
