G1 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.38s | NRMSE=2.007
G1 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.78s | NRMSE=1.818
G1 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.92s | NRMSE=1.818
G1 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=1.03s | NRMSE=1.666
G2 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.8s | NRMSE=1.745
G2 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.59s | NRMSE=1.666
G2 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.8s | NRMSE=1.818
G2 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.79s | NRMSE=1.818
G3 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.68s | NRMSE=1.389
G3 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.35s | NRMSE=1.583
G3 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.67s | NRMSE=1.818
G3 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.52s | NRMSE=1.914
MG depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.41s | NRMSE=1.756
MG depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.42s | NRMSE=1.804
MG depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.57s | NRMSE=1.755
MG depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.42s | NRMSE=1.747
D k=2 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.76s | NRMSE=1.940
D k=2 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.8s | NRMSE=1.947
D k=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.29s | NRMSE=1.968
D k=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.61s | NRMSE=1.968
ISING ising=(10.0, 1, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.57s | NRMSE=1.619
ISING ising=(10.0, 1, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.74s | NRMSE=1.737
ISING ising=(10.0, 2, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.68s | NRMSE=1.809
ISING ising=(10.0, 2, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.6s | NRMSE=1.764
G1 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.4s | NRMSE=2.038
G1 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.26s | NRMSE=1.847
G1 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.25s | NRMSE=1.847
G1 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.29s | NRMSE=1.664
G2 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.18s | NRMSE=1.615
G2 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.18s | NRMSE=1.642
G2 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.27s | NRMSE=1.847
G2 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.46s | NRMSE=1.847
G3 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.36s | NRMSE=1.636
G3 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.58s | NRMSE=1.693
G3 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.55s | NRMSE=1.830
G3 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.5s | NRMSE=1.757
MG depth=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.42s | NRMSE=1.760
MG depth=3 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.5s | NRMSE=1.829
MG depth=10 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=1.35s | NRMSE=1.782
MG depth=10 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.84s | NRMSE=1.672
D k=2 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=1.33s | NRMSE=1.955
D k=2 | seed=1 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.88s | NRMSE=2.012
D k=3 | seed=0 | n=1 | extra=0 | meas=S:XZ | Rz=False | time=0.39s | NRMSE=2.073
