G1 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.25s | NRMSE=1.978
G1 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.26s | NRMSE=1.918
G1 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.27s | NRMSE=1.918
G1 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.3s | NRMSE=1.566
G2 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.19s | NRMSE=1.550
G2 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.2s | NRMSE=1.566
G2 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.24s | NRMSE=1.918
G2 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.41s | NRMSE=1.918
G3 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.2s | NRMSE=1.413
G3 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.26s | NRMSE=1.698
G3 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.24s | NRMSE=1.918
G3 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.26s | NRMSE=1.918
MG depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.38s | NRMSE=1.924
MG depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.24s | NRMSE=1.838
MG depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.32s | NRMSE=1.401
MG depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.3s | NRMSE=2.257
D k=2 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.53s | NRMSE=1.875
D k=2 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.71s | NRMSE=1.890
D k=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.24s | NRMSE=2.071
D k=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.21s | NRMSE=2.071
ISING ising=(10.0, 1, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.39s | NRMSE=1.765
ISING ising=(10.0, 1, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.4s | NRMSE=1.802
ISING ising=(10.0, 2, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.37s | NRMSE=1.806
