G1 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.46s | NRMSE=2.149
G1 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.62s | NRMSE=1.673
G1 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.34s | NRMSE=1.673
G1 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.28s | NRMSE=2.334
G2 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.2s | NRMSE=1.177
G2 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.28s | NRMSE=2.334
G2 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.91s | NRMSE=1.673
G2 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.93s | NRMSE=1.673
G3 depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.66s | NRMSE=1.884
G3 depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.81s | NRMSE=1.578
G3 depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.54s | NRMSE=1.673
G3 depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.52s | NRMSE=1.945
MG depth=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.45s | NRMSE=1.861
MG depth=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.77s | NRMSE=1.441
MG depth=10 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=1.15s | NRMSE=1.450
MG depth=10 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=1s | NRMSE=2.116
D k=2 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=1.26s | NRMSE=2.129
D k=2 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.54s | NRMSE=2.119
D k=3 | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.21s | NRMSE=2.031
D k=3 | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.69s | NRMSE=2.031
ISING ising=(10.0, 1, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.88s | NRMSE=1.782
ISING ising=(10.0, 1, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.88s | NRMSE=2.033
ISING ising=(10.0, 2, 0.1, 1.0) | seed=0 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=0.87s | NRMSE=1.171
ISING ising=(10.0, 2, 0.1, 1.0) | seed=1 | n=1 | extra=0 | meas=S:XYZ | Rz=False | time=1.05s | NRMSE=1.839
