G1 depth=3 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.33s | NRMSE=10.661
G1 depth=3 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.30s | NRMSE=1.661
G1 depth=5 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.35s | NRMSE=1.661
G1 depth=5 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.34s | NRMSE=1.661
G1 depth=10 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.40s | NRMSE=1.661
G1 depth=10 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.41s | NRMSE=6.866
G2 depth=3 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.30s | NRMSE=10.661
G2 depth=3 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.32s | NRMSE=6.866
G2 depth=5 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.37s | NRMSE=1.661
G2 depth=5 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.36s | NRMSE=6.866
G2 depth=10 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.40s | NRMSE=1.661
G2 depth=10 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.40s | NRMSE=1.661
G3 depth=3 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.30s | NRMSE=10.661
G3 depth=3 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.31s | NRMSE=1.661
G3 depth=5 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.42s | NRMSE=1.661
G3 depth=5 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.34s | NRMSE=1.661
G3 depth=10 | seed=0 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.40s | NRMSE=1.661
G3 depth=10 | seed=1 | n=1 | extra=1 | meas=S:XYZ | Rz=False | time=0.42s | NRMSE=1.661
G1 depth=3 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.36s | NRMSE=5.012
G1 depth=3 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.34s | NRMSE=1.661
G1 depth=5 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.39s | NRMSE=1.661
G1 depth=5 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.37s | NRMSE=1.661
G1 depth=10 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.44s | NRMSE=1.661
G1 depth=10 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.44s | NRMSE=5.012
G2 depth=3 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.34s | NRMSE=5.012
G2 depth=3 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.34s | NRMSE=5.057
G2 depth=5 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.45s | NRMSE=1.661
G2 depth=5 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.36s | NRMSE=2.107
G2 depth=10 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.47s | NRMSE=1.661
G2 depth=10 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.53s | NRMSE=1.661
G3 depth=3 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.34s | NRMSE=5.012
G3 depth=3 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.35s | NRMSE=1.661
G3 depth=5 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.38s | NRMSE=1.661
G3 depth=5 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.36s | NRMSE=1.661
G3 depth=10 | seed=0 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.56s | NRMSE=1.661
G3 depth=10 | seed=1 | n=1 | extra=1 | meas=S+P:XYZ | Rz=False | time=0.43s | NRMSE=1.661
G1 depth=3 | seed=0 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.29s | NRMSE=10.661
G1 depth=3 | seed=1 | n=1 | extra=1 | meas=S:XZ | Rz=False | time=0.29s | NRMSE=5.012
